,Title,Date,Notes,Names and Subjects,ID,Barcode,Physical Description,Map Scale,Copyright,Repository,Date Added/Updated,iiif_manifest_url,Creator,Collection Title,Alternate Title,Collection Creator,Genre
0,"Parish of Vercheres. Parish of St. Antoine, [ca. 1761].",ca. 1761,"['Finished, colored, topographical map showing the buildings, farms and roads of the area.', 'Textual information describes the history of each parish and the number of its families and the number of men able to bear arms.', 'Map is sheet 27 of the Murray Atlas of Canada and sheet 11 of its series.', 'In green box with spine labeled: American atlas ms. - Canada 1761-65.']","['Manuscript maps.', 'Murray Atlas of Canada.', 'Brun Guide.', 'Maps shelf.', 'Verchères (Québec)--Manuscript maps.', 'Saint Lawrence River--Manuscript maps.', 'Richelieu River (N.Y. and Vt.-Québec)--Manuscript maps.', 'Québec (Province)--Manuscript maps.', 'United States--History--French and Indian War, 1754-1763--Manuscript maps.']",684,B3522008,1 ms. map : col. ; 52.7 x 74.5 cm.,"Scale 1:24,000.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2017-07-07 17:06:49,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:684,,Murray Atlas of Canada,,,
0,"Continuation of the River Chaudière joining to A, [ca. 1761] / [by Lieut. Haldimand of the Royal American Regt].",ca. 1761,"['Finished, colored, topographical map of the area showing roads, fields, and houses.', 'Includes textual material on the Parish of St. Marie or Nouvelle Beausse giving number of families and number of men able to bear arms.', 'Map corresponds with an inset map on key map sheet 33', 'Map is sheet 42 of the Murray Atlas of Canada and sheet 9 of its series.', 'In green box with spine labeled: American atlas ms. - Canada 1761-65.']","['Manuscript maps.', 'Murray Atlas of Canada.', 'Brun Guide.', 'Maps shelf.', 'Chaudière River (Québec)--Manuscript maps.', 'Québec (Province)--Manuscript maps.', 'United States--History--French and Indian War, 1754-1763--Manuscript maps.']",697,B3522486,1 ms. map : col. ; 74.3 x 47.7 cm.,"Scale 1:24,000.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2017-07-07 15:47:54,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:697,"Haldimand, Frederick.",Murray Atlas of Canada,,,
0,"Plan of part of Fort George, with the barracks &c. erected in the year 1759 : Situated lat. 43 [degrees] 30' long. 73 [degrees] 30'.",1763,"['In: Rocque, Mary Ann. A set of plans and forts ..., 1763, no. 14.', 'Table of references identifies major features.']","['Maps shelf.', 'Fort George (Lake George, N.Y.)--Maps.', 'United States--History--French and Indian War, 1754-1763--Maps.', 'Rocque, Mary Ann.']",960,B1937216,1 map ; 12.2 x 16.7 cm.,"Scale ca. 1:4,800.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2016-11-18 11:20:01,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:960,,,,,
0,"[Part of the Richelieu River showing Isle aux Noix, ca. 1761].",ca. 1761,"['Finished, colored, topographical map.', 'Map includes an inset map that corresponds with an inset map on key map sheet 16.', 'Map is sheet 31 of the Murray Atlas of Canada and sheet 15 of its series.', 'In green box with spine labeled: American atlas ms. - Canada 1761-65.']","['Manuscript maps.', 'Murray Atlas of Canada.', 'Brun Guide.', 'Maps shelf.', 'Noix Island (Le Haut-Richelieu, Québec)--Manuscript maps.', 'Richelieu River (N.Y. and Vt.-Québec)--Manuscript maps.', 'Québec (Province)--Manuscript maps.', 'United States--History--French and Indian War, 1754-1763--Manuscript maps.']",187,B3522033,1 ms. map : col. ; 72.7 x 51.8 cm.,"Scale 1:24,000. Scale of inset 1:9,600.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2017-07-07 17:48:46,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:187,,,Inset title: Plan of Isle aux Noix,,
0,"[British attack upon Ticonderoga, July 7 & 8, 1758].",,"['Shows movements of British troops from landing to the battle before Ticonderoga.', 'Charles Rivez suggested as possible author.']","['Ticonderoga, Battle of, N.Y., 1758--Maps, Manuscript.', 'Manuscript maps.', 'Maps shelf.', 'Gage Maps.', 'Brun Guide.', 'Ticonderoga (N.Y.)--Manuscript maps.', 'George, Lake (N.Y. : Lake)--Manuscript maps.', 'New York (State)--Manuscript maps.', 'United States--History--French and Indian War, 1754-1763--Manuscript maps.', 'Rivez, Charles.']",5532,B1936547,1 ms. map : col. ; 35.2 x 30 cm,Scale indeterminable.,"The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2018-05-10 16:16:30,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:5532,,,,,
0,"Parish of St. Ann's. Parish of the River Batiscant, [ca. 1761].",ca. 1761,"['Finished, colored, topographical map showing the buildings, farms and roads of the area.', 'Textual information describes the history of each parish and the number of its families and the number of men able to bear arms.', 'Map is sheet 35 of the Murray Atlas of Canada and sheet 2 of its series.', 'In green box with spine labeled: American atlas ms. - Canada 1761-65.']","['Manuscript maps.', 'Murray Atlas of Canada.', 'Brun Guide.', 'Maps shelf.', 'Batiscan (Québec)--Manuscript maps.', 'Saint Lawrence River--Manuscript maps.', 'Québec (Province)--Manuscript maps.', 'United States--History--French and Indian War, 1754-1763--Manuscript maps.']",690,B3522268,1 ms. map : col. ; 53 x 72.8 cm.,"Scale 1:24,000.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2017-07-07 16:20:25,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:690,,Murray Atlas of Canada,,,
0,"Parish of Charlebourgh, [ca. 1761].",ca. 1761,"['Finished, colored, topographical map showing the buildings, farms and roads of the area.', 'Textual information describes the history of the parish and the number of its families and the number of men able to bear arms.', 'Additional text block provides historical and demographic information on the city of Québec.', 'Some additional features relating to the fighting at Québec are shown and keyed to the full-page table of references on sheet 51 of the atlas.', 'Map is sheet 56 of the Murray Atlas of Canada and sheet 5 of its series.', 'In green box with spine labeled: American atlas ms. - Canada 1761-65.']","['Québec Campaign, Québec, 1759--Maps, Manuscript.', 'Manuscript maps.', 'Murray Atlas of Canada.', 'Brun Guide.', 'Maps shelf.', 'Québec (Québec)--Manuscript maps.', 'Québec (Province)--Manuscript maps.', 'United States--History--French and Indian War, 1754-1763--Manuscript maps.']",708,B3524244,1 ms. map : col. ; 69.5 x 48 cm.,"Scale 1:24,000.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2017-07-07 16:35:31,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:708,,Murray Atlas of Canada,,,
0,"Parish of St. Michelle. Parish of St. John Baptist. Parish of St. Vertier, [ca. 1761].",ca. 1761,"['Finished, colored, topographical map showing the buildings, farms and roads of the area.', 'Textual information describes the history of each parish and the number of its families and the number of men able to bear arms.', 'Map is sheet 65 of the Murray Atlas of Canada and sheet 14 of its series.', 'In green box with spine labeled: American atlas ms. - Canada 1761-65.']","['Manuscript maps.', 'Murray Atlas of Canada.', 'Brun Guide.', 'Maps shelf.', 'Orleans, Island of (Québec)--Manuscript maps.', 'Saint Lawrence River--Manuscript maps.', 'Québec (Province)--Manuscript maps.', 'United States--History--French and Indian War, 1754-1763--Manuscript maps.']",717,B3524411,1 ms. map : col. ; 50 x 72 cm.,"Scale 1:24,000.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2017-07-07 14:49:44,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:717,,Murray Atlas of Canada,,,
0,"Parish of Lavalterie. Parish of Contrecoeur, [ca. 1761].",ca. 1761,"['Finished, colored, topographical map showing the buildings, farms and roads of the area.', 'Textual information describes the history of each parish and the number of its families and the number of men able to bear arms.', 'Map is sheet 24 of the Murray Atlas of Canada and sheet 8 of its series.', 'In green box with spine labeled: American atlas ms. - Canada 1761-65.']","['Manuscript maps.', 'Murray Atlas of Canada.', 'Brun Guide.', 'Maps shelf.', 'Contrecoeur (Québec)--Manuscript maps.', 'Lavaltrie (Québec)--Manuscript maps.', 'Richelieu River (N.Y. and Vt.-Québec)--Manuscript maps.', 'Saint Lawrence River--Manuscript maps.', 'Québec (Province)--Manuscript maps.', 'United States--History--French and Indian War, 1754-1763--Manuscript maps.']",681,B3521986,1 ms. map : col. ; 54 x 74.5 cm.,"Scale 1:24,000.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2017-07-07 15:41:36,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:681,,Murray Atlas of Canada,,,
0,"Point Levi [including the parishes of St. Joseph and St. Henry]. Parish of St. Charles, [ca. 1761].",ca. 1761,"['Finished, colored, topographical map showing the buildings, farms and roads of the area.', 'Textual information describes the history of each parish and the number of its families and the number of men able to bear arms.', 'Map is sheet 67 of the Murray Atlas of Canada and sheet 16 of its series.', 'In green box with spine labeled: American atlas ms. - Canada 1761-65.']","['Manuscript maps.', 'Murray Atlas of Canada.', 'Brun Guide.', 'Maps shelf.', 'Lévis (Québec)--Manuscript maps.', 'Québec (Province)--Manuscript maps.', 'United States--History--French and Indian War, 1754-1763--Manuscript maps.']",719,B3524420,1 ms. map : col. ; 47.1 x 69.5 cm.,"Scale 1:24,000.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2017-07-07 15:17:04,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:719,,Murray Atlas of Canada,,,
0,"Parish of Bertier. Isle du Pas, [ca. 1761].",ca. 1761,"['Finished, colored, topographical map showing the buildings, farms and roads of the area.', 'Textual information describes the history of each parish and the number of its families and the number of men able to bear arms.', 'Map is sheet 20 of the Murray Atlas of Canada and sheet 4 of its series.', 'In green box with spine labeled: American atlas ms. - Canada 1761-65.']","['Manuscript maps.', 'Murray Atlas of Canada.', 'Brun Guide.', 'Maps shelf.', 'Berthier (Québec)--Manuscript maps.', 'Québec (Province)--Manuscript maps.', 'United States--History--French and Indian War, 1754-1763--Manuscript maps.']",678,B3521628,1 ms. map : col. ; 51.5 x 72.7 cm.,"Scale 1:24,000.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2017-07-07 17:38:07,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:678,,Murray Atlas of Canada,,,
0,"The Cedres, [ca. 1761].",ca. 1761,"['Finished, colored, topographical map showing the buildings, farms and roads of the area.', 'Textual information describes the history of the parish and gives the number of its families and the number of men able to bear arms.', 'Map is sheet 11 of the Murray Atlas of Canada and sheet 9 of its series.', 'In green box with spine labeled: American atlas ms. - Canada 1761-65.']","['Manuscript maps.', 'Murray Atlas of Canada.', 'Brun Guide.', 'Maps shelf.', 'Québec (Province)--Manuscript maps.', 'United States--History--French and Indian War, 1754-1763--Manuscript maps.']",670,B3520124,1 ms. map : col. ; 48.5 x 67.7 cm.,"Scale 1:24,000.","The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2017-07-07 16:54:02,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:670,,Murray Atlas of Canada,,,
0,Attaques du fort William-Henri en Amérique par les troupes franc̜aises aux ordres du Marquis de Montcalm prise de ce fort le 7 Août 1757.,1792,"['From: Les plans de la guerre de sept ans contenans les batailles combats, prises de villes, camps etc. Frankfurt, [1793].', 'Below neat line at left: Dessiné par Therbu lieutenant ingenieur.', ""Engraved by: Contgen graveur de la cour et de l'Université de Mayence."", 'Above plate mark at lower right: Lit: c. N20 6.', 'Extensive key of references to events of the siege of Fort William Henry.', 'Color on military units and siege lines only.']","['Maps shelf.', 'Fort William Henry (N.Y.)--Maps.', 'Fort William Henry (N.Y.)--Capture, 1757--Maps.', 'George, Lake (N.Y. : Lake)--Maps.', 'United States--History--French and Indian War, 1754-1763--Maps.', 'Contgen, Henrich Hugo,--1727-1792.']",646,B1936859,1 map : col. ; 36 x 24 cm,Scale in pas.,"The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be under copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the <a href=""mailto:icwcl1ic-umdl-help@umich.edu"">William L. Clements Library</a>. If you have concerns about the inclusion of an item in this collection, please contact <a href=""mailto:libraryit-info@umich.edu"">Library IT</a>.",William L. Clements Library,2016-02-20 00:06:43,https://quod.lib.umich.edu/cgi/i/image/api/search/wcl1ic:646,Therbu.,,Additional title: Attaques du Fort William-Henri.,,
